CNN,ST_NAME,the_geom,ST_TYPE,CNNTEXT
23673000,PENNSYLVANIA,POINT (-122.39384798317451 37.76530672532918),AVE,23673000
22759000,UPLAND,POINT (-122.464056167032 37.72952482888727),DR,22759000
21972000,CHILTON,POINT (-122.43667288943632 37.734040174468326),AVE,21972000
22911000,SAN BENITO,POINT (-122.46699849006603 37.733092141821366),WAY,22911000
33626000,22ND,POINT (-122.40525954218414 37.756920438604794),ST,33626000
27700000,MORAGA,POINT (-122.49375076892643 37.75535092219455),ST,27700000
20861000,HOLYOKE,POINT (-122.40754148529045 37.723940983741905),ST,20861000
52136000,I-280 SOUTHBOUND,POINT (-122.45120812392946 37.71429395507734),,52136000
33600000,PLYMOUTH,POINT (-122.45654944748547 37.725419307732516),AVE,33600000
23786000,07TH,POINT (-122.39582644013186 37.76716595691071),ST,23786000
24440000,GOLDEN GATE,POINT (-122.41714561229927 37.781447494891694),AVE,24440000
51930000,EGBERT,POINT (-122.37018250144801 37.70991064673898),AVE,51930000
23715000,26TH,POINT (-122.40218351822918 37.75058076240219),ST,23715000
22208000,GRAFTON,POINT (-122.453091959482 37.72004059007298),AVE,22208000
26969000,CHESTNUT,POINT (-122.44030960592568 37.800301007678094),ST,26969000
26850000,PRESIDIO,POINT (-122.44714800810036 37.78907138749728),AVE,26850000
52192000,EAST,POINT (-122.44797726421368 37.72454837722396),RD,52192000
20011000,INGERSON,POINT (-122.38813050985425 37.716298216394385),AVE,20011000
25609000,CLIPPER,POINT (-122.42492299938347 37.74943490194747),ST,25609000
26295000,BELMONT,POINT (-122.45494608113879 37.763178701368055),AVE,26295000
23098000,SERRANO,POINT (-122.48310424005302 37.71910902806407),DR,23098000
22705000,URBANO,POINT (-122.46421352177809 37.725185341647084),DR,22705000
27762000,41ST,POINT (-122.50017298909835 37.75505278953905),AVE,27762000
32967000,IRON,POINT (-122.44510562990772 37.756960752167075),ALY,32967000
50699000,JESSIE,POINT (-122.41682299042365 37.77539824383637),ST,50699000
24751000,GRANT,POINT (-122.40593811901206 37.79245075238129),AVE,24751000
