,Crash Number,Date Time,Day Of Week,Object 1,Object 2,Street Number,Steet Name,Cross Street,Location,Latitude,Longitude,Coordinates,Street_ID
4444,31330,09/24/2012 01:15:00 PM,Monday,Auto,Bicycle,,Cardinal Medeiros Ave,PLYMOUTH ST," Cardinal Medeiros Ave & PLYMOUTH ST Cambridge, MA",42.368373,-71.090596,"(42.368373, -71.090596)",2453
4445,31331,09/24/2012 04:19:00 PM,Monday,Auto,Bicycle,1967,Massachusetts Ave,,"1967 Massachusetts Ave Cambridge, MA",42.390066,-71.120466,"(42.390066, -71.120466)",1778
4449,31336,09/25/2012 09:14:00 AM,Tuesday,Auto,Bicycle,,Hampshire St,ELM ST," Hampshire St & ELM ST Cambridge, MA",42.37048,-71.096879,"(42.37048, -71.096879)",4
4450,31341,09/25/2012 03:40:00 PM,Tuesday,Auto,Bicycle,,Massachusetts Ave,Washburn Ave," Massachusetts Ave & Washburn Ave Cambridge, MA",42.398824,-71.131961,"(42.398824, -71.131961)",1140
4457,31345,09/27/2012 06:20:00 AM,Friday,Auto,Bicycle,,MOUNT AUBURN ST,Brattle St," MOUNT AUBURN ST & Brattle St Cambridge, MA",42.375282,-71.145695,"(42.375282, -71.145695)",2372
4477,31365,10/01/2012 05:25:00 PM,Monday,Auto,Bicycle,438,Massachusetts Ave,,"438 Massachusetts Ave Cambridge, MA",42.363518,-71.100859,"(42.363518, -71.100859)",321
4479,31366,10/02/2012 02:29:00 PM,Tuesday,Auto,Bicycle,,Massachusetts Ave,Chauncy St," Massachusetts Ave & Chauncy St Cambridge, MA",42.379972,-71.119945,"(42.379972, -71.119945)",1437
4486,31374,10/04/2012 08:49:00 AM,Thursday,Auto,Bicycle,,MILL ST,PLYMPTON ST," MILL ST & PLYMPTON ST Cambridge, MA",42.37025,-71.117751,"(42.37025, -71.117751)",168
4493,31380,10/04/2012 09:34:00 PM,Thursday,Auto,Bicycle,,Broadway,Hampshire St," Broadway & Hampshire St Cambridge, MA",42.365435,-71.091112,"(42.365435, -71.091112)",249
4505,31391,10/06/2012 09:24:00 PM,Saturday,Auto,Bicycle,,Brookline St,Franklin St," Brookline St & Franklin St Cambridge, MA",42.362868,-71.102435,"(42.362868, -71.102435)",857
4530,31416,10/10/2012 04:30:00 PM,Wednesday,Auto,Bicycle,,Concord Ave,SMITH PL," Concord Ave & SMITH PL Cambridge, MA",42.390113,-71.150662,"(42.390113, -71.150662)",1687
4534,31420,10/11/2012 11:32:00 AM,Thursday,Auto,Bicycle,33,OXFORD AVE,,"33 OXFORD AVE Cambridge, MA",42.376849,-71.156032,"(42.376849, -71.156032)",565
4541,31428,10/12/2012 05:00:00 PM,Friday,Auto,Bicycle,,Massachusetts Ave,ESSEX ST," Massachusetts Ave & ESSEX ST Cambridge, MA",42.36508,-71.10318,"(42.36508, -71.10318)",701
4549,31433,10/14/2012 05:29:00 PM,Sunday,Auto,Bicycle,1008,Cambridge St,Columbia St,"1008 Cambridge St Cambridge, MA",42.372725,-71.093866,"(42.372725, -71.093866)",1871
4556,31440,10/17/2012 05:46:00 PM,Wednesday,Auto,Bicycle,,Cambridge St,Windsor St," Cambridge St & Windsor St Cambridge, MA",42.37275,-71.093288,"(42.37275, -71.093288)",1923
4558,31443,10/17/2012 06:24:00 PM,Wednesday,Auto,Bicycle,,Hampshire St,ELM ST," Hampshire St & ELM ST Cambridge, MA",42.37048,-71.096879,"(42.37048, -71.096879)",4
4561,31446,10/18/2012 03:59:00 PM,Thursday,Auto,Bicycle,,Banks St,MOUNT AUBURN ST," Banks St & MOUNT AUBURN ST Cambridge, MA",42.37049,-71.114464,"(42.37049, -71.114464)",2324
4573,31456,10/20/2012 02:49:00 PM,Sunday,Auto,Bicycle,1452,Cambridge St,,"1452 Cambridge St Cambridge, MA",42.373876,-71.102956,"(42.373876, -71.102956)",1002
4577,31460,10/21/2012 03:30:00 PM,Sunday,Auto,Bicycle,,Cambridge St,HIGHLAND AVE," Cambridge St & HIGHLAND AVE Cambridge, MA",42.374233,-71.104741,"(42.374233, -71.104741)",2254
4593,31477,10/24/2012 08:29:00 AM,Wednesday,Auto,Bicycle,,Massachusetts Ave,White St," Massachusetts Ave & White St Cambridge, MA",42.388676,-71.119242,"(42.388676, -71.119242)",647
4596,31479,10/25/2012 09:34:00 AM,Thursday,Auto,Bicycle,,Cambridge St,FELTON ST," Cambridge St & FELTON ST Cambridge, MA",42.375202,-71.112233,"(42.375202, -71.112233)",2080
4599,31482,10/25/2012 01:57:00 PM,Thursday,Auto,Bicycle,,Tremont St,Hampshire St," Tremont St & Hampshire St Cambridge, MA",42.371501,-71.098121,"(42.371501, -71.098121)",2008
4600,31483,10/25/2012 08:38:00 PM,Thursday,Auto,Bicycle,,Massachusetts Ave,STATE ST," Massachusetts Ave & STATE ST Cambridge, MA",42.362647,-71.099069,"(42.362647, -71.099069)",1438
4607,31491,10/26/2012 06:59:00 PM,Friday,Auto,Bicycle,,Cambridge St,FULKERSON ST," Cambridge St & FULKERSON ST Cambridge, MA",42.37192,-71.086872,"(42.37192, -71.086872)",91
4615,31501,10/30/2012 07:30:00 PM,Tuesday,Auto,Bicycle,,JFK St,Winthrop Sq," JFK St & Winthrop Sq Cambridge, MA",42.372154,-71.120489,"(42.372154, -71.120489)",178
4619,31505,10/31/2012 05:26:00 PM,Wednesday,Auto,Bicycle,,Massachusetts Ave,STATE ST," Massachusetts Ave & STATE ST Cambridge, MA",42.362647,-71.099069,"(42.362647, -71.099069)",1438
4632,31517,11/02/2012 03:00:00 PM,Friday,Auto,Bicycle,450,Massachusetts Ave,,"450 Massachusetts Ave Cambridge, MA",42.363476,-71.1011,"(42.363476, -71.1011)",329
4642,31531,11/05/2012 06:26:00 PM,Monday,Auto,Bicycle,,Columbia St,Hampshire St," Columbia St & Hampshire St Cambridge, MA",42.369917,-71.096192,"(42.369917, -71.096192)",1710
4673,31564,11/14/2012 07:19:00 AM,Wednesday,Auto,Bicycle,,Cambridge St,Hampshire St," Cambridge St & Hampshire St Cambridge, MA",42.373729,-71.100837,"(42.373729, -71.100837)",2533
4674,31565,11/14/2012 09:04:00 AM,Wednesday,Taxi,Bicycle,,Hampshire St,Inman St," Hampshire St & Inman St Cambridge, MA",42.373475,-71.100531,"(42.373475, -71.100531)",1189
4675,31566,11/14/2012 05:51:00 PM,Wednesday,Auto,Bicycle,671,MAIN ST,,"671 MAIN ST Cambridge, MA",42.363349,-71.094314,"(42.363349, -71.094314)",2452
